개찰일,공고번호,공고명,발주기관,용역분류,분석구분,기초금액,실제사정율,입찰범위,현행업체수,제안업체수,변경대상,현행추천1,현행추천2,제안추천1,제안추천2,제안추천3,현행최적추천,현행최적순번,제안최적추천,제안최적순번,현행오차,제안오차,현행편향,제안편향,오차개선
2025-04-09,E012502554-1,석계S/S 신설에 따른 산막S/S 연계력확보공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,148589766.0,0.1204,지역제한,2,3,True,-0.5528,-0.0876,-0.5528,-0.0876,-0.44,-0.0876,2,-0.0876,2,0.208,0.208,-0.208,-0.208,0.0
2025-04-17,E012502858-1,"새울(덕골/신리지구 관로분) 3, 4호기 이주단지 간선설치공사 통합감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,220063323.0,0.126,지역제한,2,3,True,-0.5918,0.0985,-0.5918,0.0985,-0.42,0.0985,2,0.0985,2,0.027499999999999997,0.027499999999999997,-0.027499999999999997,-0.027499999999999997,0.0
2025-04-18,E012502830-1,세산S/S 신설에 따른 3회선 선로확충공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,112664899.0,0.3643,지역제한,2,3,True,-0.082,0.0248,-0.082,0.0248,-0.42,0.0248,2,0.0248,2,0.3395,0.3395,-0.3395,-0.3395,0.0
2025-04-22,E012502987-1,345kV 북부산-고리NP T/L 상부재보강 및 154kV 4개T/L 피뢰기설치공사 책임감리용역 [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,160488900.0,0.464,지역제한,2,3,True,-0.2383,0.0285,-0.2383,0.0285,0.06,0.0285,2,0.06,3,0.4355,0.404,-0.4355,-0.404,0.03149999999999997
2025-04-25,E012503099-1,345kV 북부산-고리NP 등 7개T/L 송전보강공사 책임감리용역 [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,159920200.0,0.7819,지역제한,2,3,True,-0.521,0.0373,-0.521,0.0373,-0.06,0.0373,2,0.0373,2,0.7446,0.7446,-0.7446,-0.7446,0.0
2025-05-23,E012503768-1,345kV 북부산-고리NP T/L 상부재보강 및 154kV 4개T/L 피뢰기설치공사 책임감리용역[(재공고)] [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,160488900.0,-0.3448,지역제한,2,3,True,-0.8215,-0.0284,-0.8215,-0.0284,-0.06,-0.0284,2,-0.06,3,0.3164,0.2848,0.3164,0.2848,0.03160000000000002
2025-05-26,E012503824-1,북부산S/S 345kV #2Sh.R 교체공사 감리용역[재투찰] [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,196319200.0,0.4449,지역제한,2,3,True,-0.6063,-0.022,-0.6063,-0.022,-0.44,-0.022,2,-0.022,2,0.46690000000000004,0.46690000000000004,-0.46690000000000004,-0.46690000000000004,0.0
2025-05-26,E012503834-1,송정동 비상등 2MW신설 수평오거천공 강관압입 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,135423440.0,0.5998,지역제한,2,3,True,-0.6063,-0.022,-0.6063,-0.022,-0.44,-0.022,2,-0.022,2,0.6218,0.6218,-0.6218,-0.6218,0.0
2025-06-26,E012504516-1,북부산S/S 345kV #2Sh.R 교체공사 감리용역[(재공고)] [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,196319200.0,-0.6883,지역제한,2,3,True,-0.8164,-0.0188,-0.8164,-0.0188,-0.44,-0.8164,1,-0.8164,1,0.1281,0.1281,-0.1281,-0.1281,0.0
2025-07-11,E012504878-1,345kV 신울산-신온산 등 31개 T/L 폴리머지지애자 및 추락방지장치 설치공사 책임감리용역 [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,244846800.0,0.4397,지역제한,2,3,True,-0.2303,-0.0823,-0.2303,-0.0823,0.06,-0.0823,2,0.06,3,0.522,0.3797,-0.522,-0.3797,0.14230000000000004
2025-07-18,E012505057-1,유원D/L 등 2개선로 용량부족해소 선로확충공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,193730960.0,-0.29,지역제한,2,3,True,-0.0335,-0.0017,-0.0335,-0.0017,0.06,-0.0335,1,-0.0335,1,0.25649999999999995,0.25649999999999995,0.25649999999999995,0.25649999999999995,0.0
2025-07-30,E012505366-1,"신평동 ㈜포유산업 일반용 16,500kW 신설공사 감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,163824917.0,-0.7214,지역제한,2,3,True,0.2988,-0.0827,0.2988,-0.0827,-0.22,-0.0827,2,-0.22,3,0.6387,0.5014000000000001,0.6387,0.5014000000000001,0.13729999999999998
2025-08-12,E012505672-1,야음동 성지디앤디 지중화공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,173041246.0,0.5252,지역제한,2,3,True,-0.7214,-0.0991,-0.7214,-0.0991,0.06,-0.0991,2,0.06,3,0.6243,0.4652,-0.6243,-0.4652,0.15909999999999996
2025-09-04,E012506286-1,김해 사이언스파크 일반산업단지 간선설치공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,212539792.0,-0.313,지역제한,2,3,True,0.0844,-0.1336,0.0844,-0.1336,-0.44,-0.1336,2,-0.44,3,0.1794,0.127,0.1794,-0.127,0.0524
2025-09-11,E012506412-1,서울산 길천산단 단지외 태화강횡단 지향성 압입공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,171727600.0,0.8022,지역제한,2,3,True,-0.4175,-0.0807,-0.4175,-0.0807,-0.44,-0.0807,2,-0.0807,2,0.8829,0.8829,-0.8829,-0.8829,0.0
2025-09-26,E012506666-1,울주군 덕남로1차 도시재생 지중화공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,248276574.0,-0.6488,지역제한,2,3,True,-0.3925,-0.1012,-0.3925,-0.1012,-0.06,-0.3925,1,-0.3925,1,0.25630000000000003,0.25630000000000003,0.25630000000000003,0.25630000000000003,0.0
2025-11-17,E012507817-1,"김해 신문1지구, 장유신문지구 배전간선 설치공사 감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,127900049.0,0.4996,지역제한,2,3,True,-0.6927,-0.2385,-0.6927,-0.2385,-0.08,-0.2385,2,-0.08,3,0.7381,0.5796,-0.7381,-0.5796,0.15849999999999997
2025-12-15,E012508486-1,"우암동 우암1구역 주택용 9,700kW 1회선 신설공사 감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,133542698.0,-1.3305,지역제한,2,3,True,-0.3585,0.029,-0.3585,0.029,-0.42,-0.3585,1,-0.42,3,0.972,0.9105000000000001,0.972,0.9105000000000001,0.06149999999999989
2026-01-21,E012600146-1,울산종건 농소-강동간(1공구) 도로개설공사 지장전주 이설공사 감리 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,166547389.0,0.1872,지역제한,2,3,True,-0.3608,0.0118,-0.3608,0.0118,0.06,0.0118,2,0.06,3,0.1754,0.1272,-0.1754,-0.1272,0.04819999999999999
2026-02-06,E012600481-1,새울(신리-덕골지구 전기분) 이주단지 간선설치공사 통합감리 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,169279481.0,0.4815,지역제한,2,3,True,-0.075,0.0468,-0.075,0.0468,0.12,0.0468,2,0.12,3,0.4347,0.3615,-0.4347,-0.3615,0.07319999999999999
2026-03-09,E012601297-1,새울(신리-덕골지구 전기분) 이주단지 간선설치공사 통합감리[(재공고)] [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,169279481.0,0.3821,지역제한,2,3,True,0.364,0.0108,0.364,0.0108,0.12,0.364,1,0.364,1,0.018100000000000005,0.018100000000000005,-0.018100000000000005,-0.018100000000000005,0.0
2026-03-13,E012601468-1,부산광역시건설본부 엄궁대교 건설 지장이설 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,135423583.0,-0.2033,지역제한,2,3,True,0.3399,-0.0822,0.3399,-0.0822,-0.44,-0.0822,2,-0.0822,2,0.12110000000000001,0.12110000000000001,0.12110000000000001,0.12110000000000001,0.0
2026-03-16,E012601502-1,서창S/S 연계력 확보를 위한 선로보강공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,110579720.0,-0.2963,지역제한,2,3,True,0.7111,-0.0681,0.7111,-0.0681,-0.22,-0.0681,2,-0.22,3,0.22820000000000001,0.0763,0.22820000000000001,0.0763,0.1519
2026-03-17,E012601595-1,"온산읍 (주)비지에프에코스페셜티 산업용(을)고압A 17,650kW 증설공사 감리 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,125878841.0,0.7697,지역제한,2,3,True,0.093,-0.0839,0.093,-0.0839,-0.2,0.093,1,0.093,1,0.6767000000000001,0.6767000000000001,-0.6767000000000001,-0.6767000000000001,0.0
2026-03-18,E012601617-1,동래S/S 용량부족해소 선로확충공사 감리용역 [정][연기][제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,112322659.0,-0.0341,지역제한,2,3,True,0.72,-0.0068,0.72,-0.0068,0.06,-0.0068,2,-0.0068,2,0.027299999999999998,0.027299999999999998,0.027299999999999998,0.027299999999999998,0.0
2026-04-06,E012602286-1,울주S/S 내와D/L-직동S/S 인보D/L 수지상선로 연계력 확보공사 감리 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,148343372.0,0.2696,지역제한,2,3,True,0.715,-0.0203,0.715,-0.0203,0.38,-0.0203,2,0.38,3,0.2899,0.1104,-0.2899,0.1104,0.1795
2026-04-10,E012602496-1,범천S/S 당진D/L 용량부족 해소 선로확충공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,185138727.0,-0.8261,지역제한,2,3,True,-0.8301,-0.0523,-0.8301,-0.0523,-0.2,-0.8301,1,-0.8301,1,0.0040000000000000036,0.0040000000000000036,-0.0040000000000000036,-0.0040000000000000036,0.0
2026-04-21,E012602784-1,동구 고관로 지중화공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,116195853.0,0.0422,지역제한,2,3,True,-0.5944,-0.1261,-0.5944,-0.1261,-0.06,-0.1261,2,-0.06,3,0.1683,0.1022,-0.1683,-0.1022,0.0661
